math score,reading score,writing score,pass,gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
65,67,62,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
79,67,67,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
68,74,74,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
85,91,89,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
60,44,47,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
98,86,90,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
58,67,72,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
87,100,100,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
66,63,64,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
52,76,70,1,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
70,64,72,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
77,89,98,1,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
62,55,49,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
54,53,47,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
51,58,54,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
99,100,100,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
84,77,74,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
75,85,82,1,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
78,82,79,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
51,63,61,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
55,69,65,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
79,92,89,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
91,89,92,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
88,93,93,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
63,57,56,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
83,80,73,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
87,95,86,1,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
72,68,67,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
65,77,74,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
82,82,74,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
51,49,51,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
89,84,82,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
53,37,40,0,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
87,74,70,1,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
75,81,84,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
74,79,75,1,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
58,55,48,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
51,54,41,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
70,55,56,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
59,66,67,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
71,61,69,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
76,72,71,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
59,62,64,1,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
42,55,54,1,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
57,43,47,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
88,73,78,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
22,39,33,0,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
88,84,75,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
73,68,66,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
68,75,81,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
100,100,93,1,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
62,67,69,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
77,67,68,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
59,70,66,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
54,49,47,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
62,67,61,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
70,89,88,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
66,74,78,1,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
60,60,60,1,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
61,86,87,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
66,62,64,1,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
82,78,74,1,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
75,88,85,1,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
49,53,52,1,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
52,53,49,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
81,92,91,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
96,100,100,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
53,51,51,1,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
58,76,78,1,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
68,83,78,1,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
67,75,70,1,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
72,73,74,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
94,88,78,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
79,86,81,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
63,67,70,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
43,51,54,0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
81,91,87,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
46,54,58,1,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
71,77,77,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
52,70,62,1,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
97,100,100,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
62,68,75,1,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
46,64,66,1,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
50,50,47,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
65,69,70,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
45,52,49,0,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
65,67,65,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
80,76,65,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
62,66,68,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
48,52,45,0,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
77,88,87,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
66,65,69,1,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
76,83,79,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
62,64,66,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
77,62,62,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
69,84,85,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
61,55,52,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
59,69,65,1,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
55,56,51,1,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
45,53,55,1,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
78,79,76,1,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
67,84,86,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
65,81,77,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
69,77,69,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
57,69,68,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
59,41,42,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
74,71,78,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
82,62,62,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
81,80,76,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
74,81,76,1,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
58,61,66,1,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
80,79,79,1,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
35,28,27,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
42,62,60,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
60,51,56,1,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
87,91,81,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
84,83,75,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
83,86,88,1,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
34,42,39,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
66,77,70,1,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
61,56,56,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
56,68,74,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
87,85,73,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
55,65,62,1,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
86,80,75,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
52,66,73,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
45,56,54,1,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
72,72,71,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
57,50,54,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
68,72,64,1,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
88,95,94,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
76,64,66,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
46,43,42,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
67,86,83,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
92,87,78,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
83,82,84,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
80,75,77,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
63,66,67,1,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
64,60,74,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
54,52,51,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
84,80,80,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
73,68,66,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
80,83,83,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
56,52,55,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
59,51,43,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
75,74,69,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
85,76,71,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
89,76,74,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
58,70,68,1,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
65,64,62,1,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
68,60,53,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
47,49,49,0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
71,83,83,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
60,70,70,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
80,80,72,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
54,52,52,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
62,73,70,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
64,73,68,1,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
78,77,77,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
70,75,78,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
65,81,81,1,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
64,79,77,1,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
79,79,78,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
44,50,51,0,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
99,93,90,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
76,73,68,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
59,42,41,0,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
63,75,81,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
69,72,77,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
88,92,95,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
71,76,70,1,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
69,63,61,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
58,49,42,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
47,53,58,1,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
65,70,71,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
88,85,76,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
83,78,73,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
85,92,93,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
59,63,75,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
65,86,80,1,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
73,56,57,1,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
53,52,42,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
45,48,46,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
73,79,84,1,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
70,78,78,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
37,46,46,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
81,82,82,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
97,82,88,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
67,89,82,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
88,75,76,1,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
77,76,77,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False
76,70,68,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
86,73,70,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
63,60,57,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
65,73,75,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
78,77,80,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
67,62,60,1,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
46,41,43,0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
71,74,68,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
40,46,50,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
90,87,75,1,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
81,78,81,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
56,54,52,1,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
67,84,81,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
80,76,64,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
74,75,83,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
69,67,69,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
99,87,81,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
51,52,44,0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
53,71,67,1,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
49,57,52,1,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
73,76,80,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
66,60,57,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
67,61,68,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
68,67,69,1,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
59,64,75,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
71,66,65,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
77,82,91,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
83,72,78,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
63,71,69,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
56,65,63,1,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
67,79,84,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
75,86,79,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
71,81,80,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
43,53,53,0,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
